TweetID,UserID,Content
20001,10002,Pretty sure that the world is just Duckburg
20002,10003,"If you know what is good for you, you should do it."
20003,10004,Why the good die young and the bad go to hell?
20004,10005,Having snow in your shoe is as much fun as having warm beer.
20005,10007,Ice bucket challenge
20006,10008,"Because science, right?"
20007,10009,Did you know that the number of Nick Cage films correlate with drowning in pool?
20008,10001,Make sure you brush your hair before going to bed.
20009,10002,"Bear, beer, beard, bird, turd. Bears are made of poop."
20010,10010,Rock 'n roll all night long with your best friends!
